longName,address,city,region,postalCode,lat,lng
NE Philadelphia,9733 Roosevelt Blvd,Philadelphia,PA,19114,40.082357,-75.026677
South Philadelphia,2300 S Christopher Columbus Bl,Philadelphia,PA,19148,39.91565,-75.13889
Philidelphia Airport (PHL) Terminal A,8000 Essington Ave,Philadelphia,PA,19153,39.894994,-75.229085
Downingtown,10 Quarry Rd,Downingtown,PA,19335,40.01888,-75.67585
King of Prussia,310 Goddard Blvd,King Of Prussia,PA,19406,40.0927,-75.39568
Collegeville,400 Front St,Collegeville,PA,19426,40.16357,-75.48094
Montgomeryville,801 Bethlehem Pike,North Wales,PA,19454,40.2376,-75.23856
Plymouth Meeting,2010 Chemical Rd,Plymouth Meeting,PA,19462,40.10288,-75.29518
Pottstown,200 Upland Sq Dr,Pottstown,PA,19464,40.26474,-75.65323
Reading,1701 Crossing Dr,Wyomissing,PA,19610,40.3482,-75.96624
Christiana,2700 Fashion Center Blvd,Newark,DE,19702,39.672627970576286,-75.6489834934473
Concord Pike,4807 Concord Pike,Wilmington,DE,19803,39.82647,-75.54269
Dover,1165 N Dupont Hwy,Dover,DE,19901,39.18922,-75.53799
Marriott Marquis Washington DC,901 MASSACHUSETTS AVE NW,WASHINGTON,DC,20001,38.903442,-77.02421
Union Station,50 Massachusetts NE,Washington,DC,20002,38.8968962430954,-77.00654536485672
Columbia Heights,3100 14th St NW,Washington,DC,20010,38.92903,-77.03415
Manassas,7665 Sudley Rd,Manassas,VA,20109,38.79072,-77.51333
Gainesville,13093 Gateway Center Dr,Gainesville,VA,20155,38.7939,-77.60362
Sterling,45575 Dulles Eastern Plz,Sterling,VA,20166,39.02328,-77.42217
Leesburg,609 Potomac Station Dr,Leesburg,VA,20176,39.09757,-77.52822
Reston,1861 Fountain Dr,Reston,VA,20190,38.96173,-77.35572
Waldorf,11725 Berry Rd,Waldorf,MD,20603,38.62682,-76.91233
Lexington Park,45235 Worth Ave,California,MD,20619,38.2968,-76.51028
Woodmore Towne Centre,2300 Petrie Ln,Lanham,MD,20706,38.92193,-76.84587
Laurel,14160 Baltimore Ave,Laurel,MD,20707,39.08459,-76.86461
Bowie,15800 Collington Rd,Bowie,MD,20716,38.94518,-76.73065
College Park,4710 Cherry Hill Rd,College Park,MD,20740,39.01694,-76.92951
Rockville,1200 Rockville Pike,Rockville,MD,20852,39.06994,-77.13014
Germantown,20914 Frederick Rd,Germantown,MD,20876,39.2,-77.25166
Gaithersburg,15750 Shady Grove Rd,Gaithersburg,MD,20877,39.11612,-77.18684
Wheaton,10901 Georgia Ave,Wheaton,MD,20902,39.03454,-77.04863
Bel Air,602 Boulton St,Bel Air,MD,21014,39.52858,-76.35952
Glen Burnie,6722 Ritchie Hwy,Glen Burnie,MD,21061,39.19076,-76.6154
Columbia,8251 Gateway Overlook Dr,Elkridge,MD,21075,39.18456,-76.79364
Arundel Mills,7000 Arundel Mills Cir,Hanover,MD,21076,39.15473,-76.72428
Towson,1717 York Rd,Timonium,MD,21093,39.42801,-76.61869
LUTHERVILLE OUTLET CENTER,160 W RIDGELY RD,LUTHERVILLE TIMONIUM,MD,21093,39.429581,-76.626196
Owings Mills,10400 Owings Mills Blvd,Owings Mills,MD,21117,39.41976,-76.77919
BALTIMORE SALE EVENT,7550 Perryman Ct,Curtis Bay,MD,21226,39.1762,-76.54946
White Marsh,5200 Campbell Blvd,Nottingham,MD,21236,39.37275,-76.45415
Baltimore/Washington Airport (BWI) Lower Level USO Hallway,7426 New Ridge Rd,Baltimore,MD,21240,39.17658233642578,-76.67123413085938
Annapolis,2643 Housley Rd,Annapolis,MD,21401,38.98602,-76.55493
Frederick,7300 Guilford Dr,Frederick,MD,21704,39.39725,-77.41602
Hagerstown,18053 Garland Groh Blvd,Hagerstown,MD,21740,39.66082,-77.744
Salisbury,109 E North Pointe Dr,Salisbury,MD,21804,38.41724,-75.56405
Fair City Mall,9652 Main St,Fairfax,VA,22031,38.84353,-77.27589
Fairlakes,13058 Fairlakes Shopping Ctr,Fairfax,VA,22033,38.85716,-77.39622
Baileys Crossroads,5799 Leesburg Pike,Falls Church,VA,22041,38.8505,-77.13119
Springfield,6555 Frontier Dr,Springfield,VA,22150,38.77423,-77.16965
Tysons Corner,8449 Leesburg Pike,Vienna,VA,22182,38.92427,-77.23953
Potomac Mills,2730 Prince William Pkwy,Woodbridge,VA,22192,38.65217,-77.29523
Pentagon City,1201 S Hayes St,Arlington,VA,22202,38.86147,-77.05831
Potomac Yard,3401 Jefferson Davis Hwy,Alexandria,VA,22305,38.83608,-77.04947
Fredericksburg,1541 Carl D Silver Pkwy,Fredericksburg,VA,22401,38.30296,-77.50473
BBT050VA02,23866 Rogers Clark Blvd,Ruther Glen,VA,22546,,
Stafford,1455 Stafford Market Pl,Stafford,VA,22556,38.47147,-77.41201
Winchester,601 East Jubal Early Dr,Winchester,VA,22601,39.16421,-78.16511
Harrisonburg,259 Burgess Rd,Harrisonburg,VA,22801,38.43291,-78.85294
Charlottesville,1615 Emmet St N,Charlottesville,VA,22901,38.05844,-78.49666
Glen Allen,9901 Brook Rd,Glen Allen,VA,23059,37.66922,-77.46003
West Broad,11200 W Broad St,Glen Allen,VA,23060,37.65084,-77.60086
Mechanicsville,7297 Battle Hill Dr,Mechanicsville,VA,23111,37.6077,-77.35643
Midlothian,4931 Commonwealth Centre Pkwy,Midlothian,VA,23112,37.42042,-77.6294
Williamsburg,210 Whittakers Trace,Williamsburg,VA,23185,37.25769,-76.64194
Chesterfield,1560 W Koger Center Blvd,Richmond,VA,23235,37.51277,-77.61277
Chesapeake,1340 Greenbrier Pkwy,Chesapeake,VA,23320,36.77363,-76.23088
Chesapeake Square,4107 Portsmouth Blvd,Chesapeake,VA,23321,36.82167,-76.40955
Princess Anne,3334 Princess Anne Rd,Virginia Beach,VA,23456,36.77376,-76.08708
Virginia Beach,217 Independence Blvd,Virginia Beach,VA,23462,36.83632,-76.13867
Newport News,12151 Jefferson Ave,Newport News,VA,23602,37.10817,-76.49869
Colonial Heights,723 Southpark Blvd,Colonial Heights,VA,23834,37.25021,-77.38666
Roanoke,4707 Valley View Blvd NW,Roanoke,VA,24012,37.29925,-79.95955
Christiansburg,105 Shoppers Way,Christiansburg,VA,24073,37.16721,-80.424
Bristol,16680 Highlands Center Dr,Bristol,VA,24202,36.63741,-82.10708
