index,address,city,region,postalcode,lat,lng
351,1775 Chamberside Dr,Rock Hill,SC,29730,34.93884,-80.97712
352,1007 Fording Island Rd,Bluffton,SC,29910,32.25851,-80.85019
353,1540 Dogwood Dr SE,Conyers,GA,30013,33.64818871,-83.99568938
354,975 N Point Dr,Alpharetta,GA,30022,34.05216,-84.28452
355,2085 Market Place Blvd,Cumming,GA,30041,34.19297,-84.13022
356,1679 Scenic Hwy N,Snellville,GA,30078,33.88278,-84.01306
357,2460 Cobb Pkwy SE,Smyrna,GA,30080,33.89111,-84.47834
358,4135 Lavista Rd,Tucker,GA,30084,33.8454,-84.24857
359,1875 Pleasant Hill Rd,Duluth,GA,30096,33.95082,-84.1306
360,3335 Cobb Pkwy NW,Acworth,GA,30101,34.03367,-84.68354
361,1810 Cumming Hwy,Canton,GA,30115,34.23732,-84.46137
362,6875 Douglas Blvd,Douglasville,GA,30135,33.72779,-84.75784
363,5025 Jimmy Lee Smith Pkwy,Hiram,GA,30141,33.88984,-84.74535
364,2500 COBB PLACE LANE NW,KENNESAW,GA,30144,34.013546,-84.571994
365,850 Cobb Place Blvd NW,Kennesaw,GA,30144,34.01139,-84.57063
366,1861 Jonesboro Rd,McDonough,GA,30253,33.46359,-84.21807
367,1980 Mount Zion Rd,Morrow,GA,30260,33.56574,-84.32384
368,312 Newnan Crossing Byp E,Newnan,GA,30265,33.39001,-84.76379
369,2703 Hwy 54,Peachtree City,GA,30269,33.39772,-84.59726
370,1210 Caroline St NE,Atlanta,GA,30307,33.75941,-84.34875
371,285 ANDREW YOUNG INT BLVD NW,ATLANTA,GA,30313,33.759893,-84.397027
372,Hartsfield Jackson,Atlanta,GA,30320,33.64131927,-84.45014191
373,6000 N Terminal Pkwy,Atlanta,GA,30320,33.641683,-84.446549
374,6000 N Terminal Pkwy,Atlanta,GA,30320,33.64168167,-84.44655128
375,6000 N Terminal Pkwy,Atlanta,GA,30320,33.64168167,-84.44655128
376,6000 N Terminal Pkwy,Atlanta,GA,30320,33.637799,-84.429271
377,6000 N Terminal Pkwy,Atlanta,GA,30320,33.637799,-84.429271
378,2537 Piedmont Rd NE,Atlanta,GA,30324,33.82387,-84.36349
379,1201 Hammond Dr NE,Dunwoody,GA,30346,33.91941,-84.33976
380,670 Dawsonville Hwy,Gainesville,GA,30501,34.29716,-83.85338
381,3205 Woodward Crossing Blvd,Buford,GA,30519,34.07058,-83.98374
382,1791 Oconee Connector,Athens,GA,30606,33.91592,-83.4524
383,3667 Walton Way Ext,Augusta,GA,30909,33.4937,-82.07748
384,3040 Watson Blvd,Warner Robins,GA,31093,32.61926,-83.69276
385,4676 Presidential Pkwy,Macon,GA,31206,32.81723,-83.71259
386,7929 Abercorn St,Savannah,GA,31406,32.00327,-81.12539
387,400 Airways Ave,Savannah,GA,31408,32.13816337,-81.21709853
388,1705 Norman Dr,Valdosta,GA,31601,30.84011,-83.31825
389,6499 Whittlesey Blvd,Columbus,GA,31909,32.549612,-84.940043
390,1900 W International Speedway,Daytona Beach,FL,32114,29.19187,-81.07414
391,552 N US Hwy 27,Lady Lake,FL,32159,28.93136,-81.93575
392,13141 City Station Dr,Jacksonville,FL,32218,30.4756,-81.64281
393,2400 Yankee Clipper Dr,Jacksonville,FL,32218,30.49146,-81.683108
394,2400 Yankee Clipper Dr,Jacksonville,FL,32218,30.491461,-81.683105
395,9355 Atlantic Blvd,Jacksonville,FL,32225,30.31955,-81.55629
396,8151 Blanding Blvd,Jacksonville,FL,32244,30.19856,-81.73815
397,4906 Town Center Pkwy,Jacksonville,FL,32246,30.254753,-81.53472
398,9930 Southside Blvd,Jacksonville,FL,32256,30.19026,-81.55414
399,1400 Apalachee Pkwy,Tallahassee,FL,32301,30.43749,-84.25941
400,1000 E 23rd St,Panama City,FL,32405,30.18895,-85.64419
401,5480 N 9th Ave,Pensacola,FL,32504,30.47726,-87.2067
402,34940 Emerald Coast Pkwy,Destin,FL,32541,30.38689,-86.42394
403,3750 SW Archer Rd,Gainesville,FL,32608,29.62268,-82.38094
404,597 W State Road 436,Altamonte Springs,FL,32714,28.66295,-81.40587
405,1501 Rinehart Rd,Sanford,FL,32771,28.80144,-81.3296
406,4601 E Colonial Dr,Orlando,FL,32803,28.55481,-81.32876
407,8350 S Orange Blossom Trl,Orlando,FL,32809,28.44434,-81.40384
408,14100 BONNET CREEK RESORT LN,ORLANDO,FL,32821,28.355641,-81.534671
409,Orlando Intl Airport,Orlando,FL,32827,28.43303108,-81.31125641
410,1 Airport Blvd,Orlando,FL,32827,28.43303108,-81.31125641
411,1 Airport Blvd,Orlando,FL,32827,28.43303108,-81.31125641
412,1 Airport Blvd,Orlando,FL,32827,28.43303108,-81.31125641
